Frame #,# Obj,X,Y,Z,Doppler,Intensity,y,m,d,h,m,s
3871,10,0.089844,0.9043,0.28906,0.29379,22,2019,7,16,19,43,17.581
3871,10,0.09375,0.93555,0.31641,0.29379,56,2019,7,16,19,43,17.581
3871,10,0.095703,0.97852,0.30664,0.29379,73,2019,7,16,19,43,17.581
3871,10,0.066406,1.043,0.22266,0.29379,63,2019,7,16,19,43,17.581
3871,10,0,1.1055,0.056641,0.29379,42,2019,7,16,19,43,17.581
3871,10,0,1.1426,0.089844,0.29379,27,2019,7,16,19,43,17.581
3871,10,0.125,0.96484,0.19922,-0.29379,46,2019,7,16,19,43,17.581
3871,10,0.095703,1.0098,0.1875,-0.29379,60,2019,7,16,19,43,17.581
3871,10,0.099609,1.0605,0.09375,-0.29379,51,2019,7,16,19,43,17.581
3871,10,0.035156,1.1035,-0.082031,-0.29379,34,2019,7,16,19,43,17.581
3872,17,0.089844,0.91211,0.26367,0.29379,29,2019,7,16,19,43,17.751
3872,17,0.125,0.94141,0.28711,0.29379,80,2019,7,16,19,43,17.751
3872,17,0.095703,0.99609,0.24805,0.29379,106,2019,7,16,19,43,17.751
3872,17,0.099609,1.0605,0.085938,0.29379,78,2019,7,16,19,43,17.751
3872,17,0.10352,1.1016,-0.041016,0.29379,33,2019,7,16,19,43,17.751
3872,17,0.09375,0.92188,0.35742,0.58758,26,2019,7,16,19,43,17.751
3872,17,0.095703,0.97461,0.32422,0.58758,35,2019,7,16,19,43,17.751
3872,17,0.099609,1.0547,0.14453,0.58758,26,2019,7,16,19,43,17.751
3872,17,0.09375,0.98047,0.12305,-0.58758,21,2019,7,16,19,43,17.751
3872,17,0.095703,1.0254,0.050781,-0.58758,27,2019,7,16,19,43,17.751
3872,17,0.11914,0.92969,0.18359,-0.29379,23,2019,7,16,19,43,17.751
3872,17,0.09375,0.97461,0.16797,-0.29379,63,2019,7,16,19,43,17.751
3872,17,0.095703,1.0195,0.11523,-0.29379,84,2019,7,16,19,43,17.751
3872,17,0.13281,1.0586,-0.056641,-0.29379,63,2019,7,16,19,43,17.751
3872,17,0.13867,1.082,-0.18555,-0.29379,28,2019,7,16,19,43,17.751
3872,17,-0.27734,0.36914,-1.0059,0.29379,18,2019,7,16,19,43,17.751
3872,17,-0.27734,0.44922,0.97266,-0.29379,15,2019,7,16,19,43,17.751
3873,12,0.089844,0.88086,0.35742,0.29379,24,2019,7,16,19,43,17.76
3873,12,0.09375,0.93359,0.32422,0.29379,67,2019,7,16,19,43,17.76
3873,12,0.095703,0.98047,0.30273,0.29379,84,2019,7,16,19,43,17.76
3873,12,0.066406,1.0371,0.25,0.29379,63,2019,7,16,19,43,17.76
3873,12,0,1.0801,0.24023,0.29379,30,2019,7,16,19,43,17.76
3873,12,0.064453,0.96875,0.34766,0.58758,28,2019,7,16,19,43,17.76
3873,12,0.095703,1.0195,0.12109,-0.58758,21,2019,7,16,19,43,17.76
3873,12,0.089844,0.92188,0.22656,-0.29379,19,2019,7,16,19,43,17.76
3873,12,0.09375,0.9668,0.20703,-0.29379,52,2019,7,16,19,43,17.76
3873,12,0.095703,1.0098,0.17969,-0.29379,68,2019,7,16,19,43,17.76
3873,12,0.099609,1.0586,0.11133,-0.29379,51,2019,7,16,19,43,17.76
3873,12,0.035156,1.1035,0.068359,-0.29379,25,2019,7,16,19,43,17.76
3874,7,0.09375,0.92578,0.34375,0.29379,46,2019,7,16,19,43,17.764
3874,7,0.095703,0.96484,0.35156,0.29379,57,2019,7,16,19,43,17.764
3874,7,0.033203,1.0352,0.26758,0.29379,42,2019,7,16,19,43,17.764
3874,7,0.09375,0.96484,0.21094,-0.29379,40,2019,7,16,19,43,17.764
