Frame #,# Obj,X,Y,Z,Doppler,Intensity,y,m,d,h,m,s
8571,1,1.6699,2.0859,0.011719,-0.29379,36,2019,7,13,11,18,25.853
8572,4,1.6465,2.0547,0.097656,0,24,2019,7,13,11,18,25.856
8572,4,1.6699,2.0781,0.1875,0,24,2019,7,13,11,18,25.856
8572,4,1.7285,1.9883,-0.033203,-0.29379,47,2019,7,13,11,18,25.856
8572,4,1.7539,2.0156,0.054688,-0.29379,45,2019,7,13,11,18,25.856
8574,4,1.7031,1.9414,0.25391,0,22,2019,7,13,11,18,25.863
8574,4,1.6777,1.9277,-0.10156,-0.29379,31,2019,7,13,11,18,25.863
8574,4,1.7031,1.959,-0.025391,-0.29379,44,2019,7,13,11,18,25.863
8574,4,1.6465,2.0566,0.013672,-0.29379,30,2019,7,13,11,18,25.863
8607,1,1.7285,1.9707,0.26563,0.29379,29,2019,7,13,11,18,25.971
8608,6,1.6465,2.0527,-0.13086,0,22,2019,7,13,11,18,25.974
8608,6,1.7539,2.0156,-0.066406,0,21,2019,7,13,11,18,25.974
8608,6,1.7031,1.959,-0.011719,0.29379,26,2019,7,13,11,18,25.974
8608,6,1.6465,2.0547,0.056641,0.29379,45,2019,7,13,11,18,25.974
8608,6,1.7539,2.0137,0.10547,0.29379,45,2019,7,13,11,18,25.974
8608,6,1.6934,2.1113,0.13867,0.29379,28,2019,7,13,11,18,25.974
8609,1,1.7539,2.0078,0.19531,0.29379,29,2019,7,13,11,18,25.977
8612,4,1.6699,2.0781,0.17383,0.29379,39,2019,7,13,11,18,25.987
8612,4,1.6934,2.0996,0.26758,0.29379,32,2019,7,13,11,18,25.987
8612,4,1.6699,2.0801,-0.16797,-0.29379,29,2019,7,13,11,18,25.987
8612,4,1.6934,2.1094,-0.16992,-0.29379,32,2019,7,13,11,18,25.987
8706,2,1.7539,2.002,-0.24023,-0.29379,39,2019,7,13,11,18,26.293
8706,2,1.6934,2.1035,-0.23438,-0.29379,29,2019,7,13,11,18,26.293
8720,5,1.7285,1.9824,-0.13672,0,20,2019,7,13,11,18,26.339
8720,5,1.7539,2.0156,-0.033203,0,20,2019,7,13,11,18,26.339
8720,5,1.7285,1.9785,0.19727,0.29379,51,2019,7,13,11,18,26.339
8720,5,1.7539,2.0059,0.20898,0.29379,51,2019,7,13,11,18,26.339
8720,5,1.6934,2.1094,0.1543,0.29379,31,2019,7,13,11,18,26.339
8721,6,1.9336,2.3223,0.6582,0.29379,28,2019,7,13,11,18,26.343
8721,6,1.6934,2.0352,0.58203,-0.58758,43,2019,7,13,11,18,26.343
8721,6,1.8047,1.9961,0.5625,-0.58758,50,2019,7,13,11,18,26.343
8721,6,1.8281,2.0313,0.54102,-0.58758,27,2019,7,13,11,18,26.343
8721,6,1.7793,1.9492,0.61719,-0.29379,38,2019,7,13,11,18,26.343
8721,6,1.8047,1.9863,0.59961,-0.29379,43,2019,7,13,11,18,26.343
8722,4,1.5645,1.9277,0.88281,0,24,2019,7,13,11,18,26.346
8722,4,1.541,1.8809,0.91016,-0.29379,29,2019,7,13,11,18,26.346
8722,4,1.5645,1.9785,0.75977,-0.29379,41,2019,7,13,11,18,26.346
8722,4,1.6699,1.9609,0.71289,-0.29379,28,2019,7,13,11,18,26.346
8731,1,1.623,2.0215,0.15234,-0.29379,38,2019,7,13,11,18,26.376
8732,7,1.5977,1.9785,0.26953,0,26,2019,7,13,11,18,26.379
8732,7,1.623,2.0078,0.28125,0,26,2019,7,13,11,18,26.379
8732,7,1.5977,1.9902,0.16992,-0.29379,51,2019,7,13,11,18,26.379
8732,7,1.623,2.0215,0.14453,-0.29379,51,2019,7,13,11,18,26.379
8732,7,1.7285,1.9746,0.23242,-0.29379,25,2019,7,13,11,18,26.379
8732,7,1.7539,1.9551,0.49023,-0.29379,27,2019,7,13,11,18,26.379
8732,7,1.6934,2.0879,0.33984,-0.29379,35,2019,7,13,11,18,26.379
8733,5,1.7793,2.0156,0.34961,0,30,2019,7,13,11,18,26.382
8733,5,1.8047,2.0488,0.32813,0,29,2019,7,13,11,18,26.382
8733,5,1.7793,2.0352,0.19922,-0.29379,54,2019,7,13,11,18,26.382
8733,5,1.8047,2.0625,0.21094,-0.29379,55,2019,7,13,11,18,26.382
8733,5,1.8281,2.0977,0.14648,-0.29379,30,2019,7,13,11,18,26.382
8735,2,1.5977,1.9492,0.42969,0.29379,30,2019,7,13,11,18,26.389
8735,2,1.6934,2.1152,-0.021484,0.29379,42,2019,7,13,11,18,26.389
8736,8,1.8906,1.9805,-0.24609,0,31,2019,7,13,11,18,26.392
8736,8,2.0996,2.2168,-0.039063,0,28,2019,7,13,11,18,26.392
8736,8,1.8633,1.957,-0.20703,0.29379,35,2019,7,13,11,18,26.392
8736,8,1.8047,2.0723,-0.066406,0.29379,56,2019,7,13,11,18,26.392
8736,8,2.0742,2.1895,-0.021484,0.29379,34,2019,7,13,11,18,26.392
8736,8,2.0039,2.3027,0.09375,0.29379,51,2019,7,13,11,18,26.392
8736,8,2.0293,2.332,0.097656,0.29379,36,2019,7,13,11,18,26.392
8736,8,1.9082,2.3691,0.25977,0.58758,26,2019,7,13,11,18,26.392
8737,1,1.623,1.9941,0.35742,0.29379,37,2019,7,13,11,18,26.396
8743,7,1.6699,2.082,0.12891,0,22,2019,7,13,11,18,26.415
8743,7,1.7793,2.0352,0.19922,0,35,2019,7,13,11,18,26.415
8743,7,1.8047,2.0664,0.18359,0,25,2019,7,13,11,18,26.415
8743,7,1.7793,2.043,-0.083984,-0.58758,32,2019,7,13,11,18,26.415
8743,7,1.7539,2.0156,-0.025391,-0.29379,38,2019,7,13,11,18,26.415
8743,7,1.7793,2.0449,0.064453,-0.29379,58,2019,7,13,11,18,26.415
8743,7,1.8047,2.0703,0.12305,-0.29379,44,2019,7,13,11,18,26.415
8748,2,1.623,1.9629,0.50391,0.29379,35,2019,7,13,11,18,26.434
8748,2,1.7285,1.9219,0.50977,0.29379,29,2019,7,13,11,18,26.434
8750,4,1.6465,1.9668,0.59961,0,21,2019,7,13,11,18,26.441
8750,4,1.623,1.8809,0.75586,0.29379,38,2019,7,13,11,18,26.441
8750,4,1.6465,1.9531,0.64063,0.29379,45,2019,7,13,11,18,26.441
8750,4,1.6699,2.0156,0.5332,0.29379,28,2019,7,13,11,18,26.441
8751,4,1.6465,2.0352,0.28906,0,25,2019,7,13,11,18,26.444
8751,4,1.7539,1.9922,0.31641,0,24,2019,7,13,11,18,26.444
8751,4,1.6465,2.0117,0.42969,0.29379,53,2019,7,13,11,18,26.444
8751,4,1.6699,2.0371,0.45117,0.29379,48,2019,7,13,11,18,26.444
8755,2,1.7285,1.9844,0.095703,0.29379,41,2019,7,13,11,18,26.457
8755,2,1.6699,2.082,0.14453,0.29379,36,2019,7,13,11,18,26.457
8756,8,1.7285,1.9824,-0.14063,0,39,2019,7,13,11,18,26.461
8756,8,1.7539,2.0156,-0.041016,0,47,2019,7,13,11,18,26.461
8756,8,1.7793,2.043,-0.091797,0,25,2019,7,13,11,18,26.461
8756,8,1.7285,1.9863,0.046875,0.29379,77,2019,7,13,11,18,26.461
8756,8,1.7539,2.0117,0.13281,0.29379,99,2019,7,13,11,18,26.461
8756,8,1.7793,2.0391,0.16992,0.29379,62,2019,7,13,11,18,26.461
8756,8,1.6465,2.0508,0.14063,0.58758,31,2019,7,13,11,18,26.461
8756,8,1.6699,2.0723,0.24219,0.58758,41,2019,7,13,11,18,26.461
8765,1,1.6699,2.0527,0.37305,0.29379,27,2019,7,13,11,18,26.49
8845,2,1.7422,2.0684,0.67383,0.29379,25,2019,7,13,11,18,26.76
8845,2,1.8535,2.0215,0.67578,0.29379,24,2019,7,13,11,18,26.76
8856,3,-1.6035,8.3984,-0.14453,0.29379,30,2019,7,13,11,18,26.964
8856,3,-1.6113,8.4355,0.12695,0.29379,25,2019,7,13,11,18,26.964
8856,3,-1.6035,8.3848,0.51367,0.58758,29,2019,7,13,11,18,26.964
33,11,0.22852,0.20117,0.025391,0,49,2019,7,13,11,18,28.89
33,11,0.25781,0.22656,0.017578,0,76,2019,7,13,11,18,28.89
33,11,0.29883,0.23828,0.0058594,0,70,2019,7,13,11,18,28.89
33,11,0.32813,0.26172,-0.015625,0,33,2019,7,13,11,18,28.89
33,11,0.23828,0.1875,-0.029297,-0.58758,41,2019,7,13,11,18,28.89
33,11,0.2793,0.19531,-0.046875,-0.58758,62,2019,7,13,11,18,28.89
33,11,0.32227,0.19531,-0.0625,-0.58758,56,2019,7,13,11,18,28.89
33,11,0.22852,0.20117,0.0019531,-0.29379,83,2019,7,13,11,18,28.89
33,11,0.25781,0.22656,-0.0097656,-0.29379,133,2019,7,13,11,18,28.89
33,11,0.29883,0.23633,-0.023438,-0.29379,121,2019,7,13,11,18,28.89
33,11,0.3418,0.24023,-0.044922,-0.29379,55,2019,7,13,11,18,28.89
34,9,0.23828,0.17773,0.070313,0,26,2019,7,13,11,18,28.999
34,9,0.2793,0.1875,0.070313,0,37,2019,7,13,11,18,28.999
34,9,0.31055,0.21094,0.072266,0,29,2019,7,13,11,18,28.999
34,9,0.24805,0.16797,0.058594,0.29379,31,2019,7,13,11,18,28.999
34,9,0.2793,0.18164,0.085938,0.29379,37,2019,7,13,11,18,28.999
34,9,0.28711,0.23242,0.10156,0.29379,22,2019,7,13,11,18,28.999
34,9,0.28906,0.18359,0.017578,-0.29379,43,2019,7,13,11,18,28.999
34,9,0.33398,0.18359,0.013672,-0.29379,35,2019,7,13,11,18,28.999
34,9,-0.060547,0.34766,0.14453,0.29379,16,2019,7,13,11,18,28.999
35,28,0.20117,0.125,0.125,0,41,2019,7,13,11,18,29.109
35,28,0.22852,0.12695,0.15625,0,82,2019,7,13,11,18,29.109
35,28,0.23633,0.1582,0.19336,0,71,2019,7,13,11,18,29.109
35,28,0.35742,0.12891,0.033203,0,37,2019,7,13,11,18,29.109
35,28,0.36719,0.18164,0.091797,0,22,2019,7,13,11,18,29.109
35,28,0.23828,0.17773,0.070313,-0.88138,32,2019,7,13,11,18,29.109
35,28,0.25781,0.2207,0.058594,-0.88138,36,2019,7,13,11,18,29.109
35,28,0.20898,0.14453,0.083984,-0.58758,63,2019,7,13,11,18,29.109
35,28,0.22852,0.17383,0.10352,-0.58758,139,2019,7,13,11,18,29.109
35,28,0.24609,0.20313,0.12695,-0.58758,139,2019,7,13,11,18,29.109
35,28,0.25,0.25,0.14258,-0.58758,70,2019,7,13,11,18,29.109
35,28,0.20898,0.13477,0.097656,-0.29379,85,2019,7,13,11,18,29.109
35,28,0.22852,0.1543,0.13086,-0.29379,172,2019,7,13,11,18,29.109
35,28,0.24609,0.17188,0.16602,-0.29379,159,2019,7,13,11,18,29.109
35,28,0.23828,0.18945,0.22852,-0.29379,85,2019,7,13,11,18,29.109
35,28,0.10547,0.21875,-0.3418,-0.29379,41,2019,7,13,11,18,29.109
35,28,0.11523,0.22266,-0.17578,0,43,2019,7,13,11,18,29.109
35,28,0.11719,0.21484,-0.24219,0,47,2019,7,13,11,18,29.109
35,28,0.22656,0.13672,0.27539,0,35,2019,7,13,11,18,29.109
35,28,0.10547,0.23828,-0.33008,0,21,2019,7,13,11,18,29.109
35,28,0.099609,0.17383,-0.17773,-0.58758,32,2019,7,13,11,18,29.109
35,28,0.11523,0.17969,-0.21875,-0.58758,71,2019,7,13,11,18,29.109
35,28,0.12891,0.16602,-0.27148,-0.58758,77,2019,7,13,11,18,29.109
35,28,0.13086,0.12109,-0.33789,-0.58758,51,2019,7,13,11,18,29.109
35,28,0.11523,0.19336,-0.20703,-0.29379,90,2019,7,13,11,18,29.109
35,28,0.12891,0.18945,-0.25586,-0.29379,99,2019,7,13,11,18,29.109
35,28,0.11914,0.1582,-0.32617,-0.29379,69,2019,7,13,11,18,29.109
35,28,0.25,0.33203,0.066406,-0.29379,41,2019,7,13,11,18,29.109
36,30,0.25977,0.044922,0.048828,0,45,2019,7,13,11,18,29.202
36,30,0.28711,0.095703,0.044922,0,86,2019,7,13,11,18,29.202
36,30,0.32227,0.10938,0.048828,0,82,2019,7,13,11,18,29.202
36,30,0.35742,0.11914,0.058594,0,39,2019,7,13,11,18,29.202
36,30,1.1074,0.50391,0.11328,0,17,2019,7,13,11,18,29.202
36,30,0.23438,0.11719,0.054688,0.29379,33,2019,7,13,11,18,29.202
36,30,0.26758,0.13672,0.054688,0.29379,55,2019,7,13,11,18,29.202
36,30,0.31055,0.13086,0.064453,0.29379,47,2019,7,13,11,18,29.202
36,30,0.20117,0.1582,0.080078,-1.1752,44,2019,7,13,11,18,29.202
36,30,0.23828,0.16992,0.085938,-1.1752,39,2019,7,13,11,18,29.202
36,30,0.17969,0.13086,0.054688,-0.88138,65,2019,7,13,11,18,29.202
36,30,0.2168,0.14063,0.066406,-0.88138,142,2019,7,13,11,18,29.202
36,30,0.24805,0.1582,0.082031,-0.88138,136,2019,7,13,11,18,29.202
36,30,0.28906,0.15625,0.099609,-0.88138,55,2019,7,13,11,18,29.202
36,30,0.19336,0.11719,0.035156,-0.58758,73,2019,7,13,11,18,29.202
36,30,0.22461,0.13281,0.052734,-0.58758,178,2019,7,13,11,18,29.202
36,30,0.26758,0.13477,0.0625,-0.58758,211,2019,7,13,11,18,29.202
36,30,0.31055,0.13281,0.058594,-0.58758,128,2019,7,13,11,18,29.202
36,30,0.25,0.082031,0.041016,-0.29379,130,2019,7,13,11,18,29.202
36,30,0.28711,0.099609,0.039063,-0.29379,215,2019,7,13,11,18,29.202
36,30,0.32227,0.11328,0.035156,-0.29379,192,2019,7,13,11,18,29.202
36,30,0.35742,0.12891,0.035156,-0.29379,89,2019,7,13,11,18,29.202
36,30,1.1816,0.4375,-0.0019531,-0.29379,35,2019,7,13,11,18,29.202
36,30,0.16797,0.082031,-0.19141,0,26,2019,7,13,11,18,29.202
36,30,0.22656,0,-0.34961,0,21,2019,7,13,11,18,29.202
36,30,0.09375,0.125,-0.16797,-0.88138,33,2019,7,13,11,18,29.202
36,30,0.15039,0.20898,-0.22852,-0.88138,28,2019,7,13,11,18,29.202
36,30,0.099609,0.12695,-0.16211,-0.58758,42,2019,7,13,11,18,29.202
36,30,0.15039,0.078125,-0.20703,-0.29379,71,2019,7,13,11,18,29.202
36,30,0.22656,0,-0.35156,-0.29379,50,2019,7,13,11,18,29.202
37,7,0.17969,0.13867,0.039063,0,15,2019,7,13,11,18,29.298
37,7,0.22461,0.14063,0.025391,0,18,2019,7,13,11,18,29.298
37,7,0.1582,0.16016,0.048828,0.29379,34,2019,7,13,11,18,29.298
37,7,0.20117,0.16992,0.050781,0.29379,38,2019,7,13,11,18,29.298
37,7,0.22461,0.14258,0,-0.29379,48,2019,7,13,11,18,29.298
37,7,0.25781,0.16211,-0.019531,-0.29379,50,2019,7,13,11,18,29.298
37,7,0.16211,0.20313,0.16016,-0.29379,29,2019,7,13,11,18,29.298
