Frame #,# Obj,X,Y,Z,Doppler,,y,m,d,h,m,s
396,1,0,0,0,0,155,2019,7,13,9,14,27.445
397,1,-1.4913,5.691,0.98573,0.14707,168,2019,7,13,9,14,27.46
398,1,0,0,0,0,168,2019,7,13,9,14,27.473
399,1,0,0,0,0,168,2019,7,13,9,14,27.516
400,2,-1.4816,5.6176,1.1701,0.14707,182,2019,7,13,9,14,27.525
400,2,-1.4913,5.679,1.0525,0.14707,175,2019,7,13,9,14,27.525
401,1,0,0,0,0,182,2019,7,13,9,14,27.535
402,1,0,0,0,0,182,2019,7,13,9,14,27.547
403,2,-1.4719,5.5717,1.206,-0.14707,150,2019,7,13,9,14,27.555
403,2,-1.6668,5.5467,1.256,-0.14707,152,2019,7,13,9,14,27.555
404,2,-1.2879,5.6103,1.2369,-0.14707,157,2019,7,13,9,14,27.565
404,2,-1.6668,5.6711,0.42728,-0.14707,161,2019,7,13,9,14,27.565
405,9,-1.8883,5.6979,0.6933,0,172,2019,7,13,9,14,27.583
405,9,-1.5203,5.8058,0.98161,0,184,2019,7,13,9,14,27.583
405,9,-1.53,5.7841,1.2878,0,152,2019,7,13,9,14,27.583
405,9,-1.6995,5.7228,0.93472,0.14707,192,2019,7,13,9,14,27.583
405,9,-1.7104,5.7977,0.66603,0.14707,208,2019,7,13,9,14,27.583
405,9,-1.7213,5.7863,1.0052,0.14707,183,2019,7,13,9,14,27.583
405,9,-2.0771,5.5305,1.2694,0.29415,165,2019,7,13,9,14,27.583
405,9,-1.7104,5.7864,0.75814,0.29415,187,2019,7,13,9,14,27.583
405,9,-1.53,5.903,0.51868,0.29415,163,2019,7,13,9,14,27.583
406,1,-1.6886,5.6505,1.1257,-0.14707,150,2019,7,13,9,14,27.591
407,1,0,0,0,0,150,2019,7,13,9,14,27.601
408,1,0,0,0,0,150,2019,7,13,9,14,27.609
409,1,0,0,0,0,150,2019,7,13,9,14,27.616
410,2,-1.9004,5.6789,1.0589,-0.14707,178,2019,7,13,9,14,27.624
410,2,-1.9125,5.7195,1.0414,-0.14707,150,2019,7,13,9,14,27.624
411,2,-1.3218,5.842,0.79825,-0.14707,164,2019,7,13,9,14,27.632
411,2,-1.9004,5.7443,0.61155,-0.14707,168,2019,7,13,9,14,27.632
412,17,-1.4816,5.706,0.60696,0.14707,156,2019,7,13,9,14,27.64
412,17,-1.4913,5.7268,0.74961,0.14707,190,2019,7,13,9,14,27.64
412,17,-1.501,5.758,0.79926,0.14707,188,2019,7,13,9,14,27.64
412,17,-1.5106,5.8443,0.27293,0.14707,161,2019,7,13,9,14,27.64
412,17,-2.0699,6.2901,0.14958,0.14707,160,2019,7,13,9,14,27.64
412,17,-2.082,6.2879,0.71723,0.14707,210,2019,7,13,9,14,27.64
412,17,-2.0941,6.3495,0.45017,0.14707,215,2019,7,13,9,14,27.64
412,17,-2.5274,6.1683,-0.99469,0.14707,173,2019,7,13,9,14,27.64
412,17,-2.2902,6.2425,0.4164,0.29415,152,2019,7,13,9,14,27.64
412,17,-1.4913,5.7746,0.11156,-0.29415,165,2019,7,13,9,14,27.64
412,17,-1.501,5.7982,-0.41789,-0.29415,158,2019,7,13,9,14,27.64
412,17,-1.6668,5.6717,0.41855,-0.14707,184,2019,7,13,9,14,27.64
412,17,-1.6777,5.7153,0.32061,-0.14707,215,2019,7,13,9,14,27.64
412,17,-1.501,5.8115,0.13959,-0.14707,209,2019,7,13,9,14,27.64
412,17,-1.5106,5.8461,-0.23201,-0.14707,176,2019,7,13,9,14,27.64
412,17,-2.2902,6.2486,-0.31105,-0.14707,162,2019,7,13,9,14,27.64
412,17,-2.0941,6.3646,0.10596,-0.14707,165,2019,7,13,9,14,27.64
413,13,-1.6668,5.6565,0.58993,0,192,2019,7,13,9,14,27.648
413,13,-1.4913,5.7569,0.46515,0,208,2019,7,13,9,14,27.648
413,13,-1.6886,5.7597,-0.14472,0,184,2019,7,13,9,14,27.648
413,13,-2.4984,6.1688,-0.30092,0.14707,153,2019,7,13,9,14,27.648
413,13,-2.3035,6.2919,-0.10373,0.14707,164,2019,7,13,9,14,27.648
413,13,-1.4816,5.7297,-0.31154,-0.29415,188,2019,7,13,9,14,27.648
413,13,-1.6777,5.7234,-0.10339,-0.29415,201,2019,7,13,9,14,27.648
413,13,-1.6886,5.7493,-0.37524,-0.29415,177,2019,7,13,9,14,27.648
413,13,-1.4719,5.698,0.17628,-0.14707,176,2019,7,13,9,14,27.648
413,13,-1.6668,5.6808,0.26965,-0.14707,231,2019,7,13,9,14,27.648
413,13,-1.4913,5.7739,0.14492,-0.14707,242,2019,7,13,9,14,27.648
413,13,-1.501,5.8127,-0.078494,-0.14707,216,2019,7,13,9,14,27.648
413,13,-1.8883,5.544,-1.4872,-0.14707,157,2019,7,13,9,14,27.648
414,7,-1.852,5.6175,0.36843,0,166,2019,7,13,9,14,27.656
414,7,-1.6777,5.7228,0.13273,0,150,2019,7,13,9,14,27.656
414,7,-1.6668,5.6748,0.37435,-0.29415,172,2019,7,13,9,14,27.656
414,7,-1.6777,5.7018,0.50753,-0.29415,163,2019,7,13,9,14,27.656
414,7,-1.8399,5.5878,0.23697,-0.14707,157,2019,7,13,9,14,27.656
