Frame #,# Obj,X,Y,Z,Doppler,Intensity,y,m,d,h,m,s
142,2,1.8789,1.9902,0.8418,0.29379,22,2019,7,14,10,25,15.338
142,2,1.9043,2.0332,0.8125,0.29379,29,2019,7,14,10,25,15.338
167,7,1.9941,2.0508,0.48242,0,20,2019,7,14,10,25,17.841
167,7,2.0215,2.0586,0.56445,0,28,2019,7,14,10,25,17.841
167,7,1.9688,2.041,0.39844,0.29379,31,2019,7,14,10,25,17.841
167,7,1.9941,1.9941,0.67773,0.29379,52,2019,7,14,10,25,17.841
167,7,1.9297,2.0762,0.78125,0.29379,73,2019,7,14,10,25,17.841
167,7,1.9551,2.1094,0.77344,0.29379,57,2019,7,14,10,25,17.841
167,7,1.9297,2.1641,0.48438,-0.29379,26,2019,7,14,10,25,17.841
168,8,1.8789,2.1602,0.064453,0,21,2019,7,14,10,25,17.945
168,8,1.9043,2.1621,0.3457,0,23,2019,7,14,10,25,17.945
168,8,2.0215,2.043,0.61523,0,25,2019,7,14,10,25,17.945
168,8,1.8535,2.127,0.15234,0.29379,36,2019,7,14,10,25,17.945
168,8,1.8789,2.1465,0.24414,0.29379,49,2019,7,14,10,25,17.945
168,8,1.9043,2.1191,0.55078,0.29379,52,2019,7,14,10,25,17.945
168,8,1.9297,2.0586,0.82422,0.29379,55,2019,7,14,10,25,17.945
168,8,1.9551,2.0371,0.94922,0.29379,39,2019,7,14,10,25,17.945
169,17,1.8535,2.125,-0.16602,0,31,2019,7,14,10,25,18.048
169,17,1.8789,2.1582,-0.10352,0,42,2019,7,14,10,25,18.048
169,17,1.9043,2.1816,0.17578,0,32,2019,7,14,10,25,18.048
169,17,1.9297,2.0957,0.72461,0,31,2019,7,14,10,25,18.048
169,17,1.9551,2.0996,0.80078,0,38,2019,7,14,10,25,18.048
169,17,1.7188,2.1191,0.33398,0.29379,23,2019,7,14,10,25,18.048
169,17,1.7656,2.2031,-0.078125,0.29379,56,2019,7,14,10,25,18.048
169,17,1.7891,2.2344,0.070313,0.29379,88,2019,7,14,10,25,18.048
169,17,1.9043,2.1484,0.41797,0.29379,70,2019,7,14,10,25,18.048
169,17,1.9297,2.0371,0.87891,0.29379,69,2019,7,14,10,25,18.048
169,17,1.9551,2.0098,1.0039,0.29379,81,2019,7,14,10,25,18.048
169,17,1.9785,2.0234,1.041,0.29379,58,2019,7,14,10,25,18.048
169,17,1.8535,2.125,0.16602,0.58758,27,2019,7,14,10,25,18.048
169,17,1.7891,2.2246,0.2207,0.58758,39,2019,7,14,10,25,18.048
169,17,1.9043,2.1211,0.54102,0.58758,30,2019,7,14,10,25,18.048
169,17,1.8379,2.0449,1.043,0.58758,27,2019,7,14,10,25,18.048
169,17,1.8613,1.9746,1.2266,0.58758,32,2019,7,14,10,25,18.048
170,5,1.9551,2.0977,0.80469,0,40,2019,7,14,10,25,18.151
170,5,1.9785,2.1445,0.76172,0,35,2019,7,14,10,25,18.151
170,5,1.6992,2.2988,0.14453,0.29379,37,2019,7,14,10,25,18.151
170,5,1.9551,2.0273,0.9668,0.29379,83,2019,7,14,10,25,18.151
170,5,1.9785,2.0742,0.93555,0.29379,77,2019,7,14,10,25,18.151
171,22,1.7422,2.1758,0.039063,0,44,2019,7,14,10,25,18.257
171,22,1.7656,2.2051,-0.0039063,0,60,2019,7,14,10,25,18.257
171,22,1.7891,2.2344,-0.068359,0,48,2019,7,14,10,25,18.257
171,22,1.8125,2.2637,-0.076172,0,32,2019,7,14,10,25,18.257
171,22,1.8379,2.2598,0.39844,0,34,2019,7,14,10,25,18.257
171,22,1.8613,2.2344,0.63867,0,49,2019,7,14,10,25,18.257
171,22,1.9785,2.168,0.69336,0,50,2019,7,14,10,25,18.257
171,22,1.7188,2.1406,0.14258,0.29379,36,2019,7,14,10,25,18.257
171,22,1.7422,2.168,0.17773,0.29379,98,2019,7,14,10,25,18.257
171,22,1.7656,2.2012,0.13867,0.29379,135,2019,7,14,10,25,18.257
171,22,1.7891,2.2344,0.052734,0.29379,107,2019,7,14,10,25,18.257
171,22,1.8125,2.2617,0.11133,0.29379,71,2019,7,14,10,25,18.257
171,22,1.8379,2.2266,0.55469,0.29379,71,2019,7,14,10,25,18.257
171,22,1.8613,2.168,0.83789,0.29379,98,2019,7,14,10,25,18.257
171,22,1.8848,2.1738,0.90234,0.29379,96,2019,7,14,10,25,18.257
171,22,1.7422,2.1406,0.38281,0.58758,40,2019,7,14,10,25,18.257
171,22,1.7656,2.1777,0.34766,0.58758,55,2019,7,14,10,25,18.257
171,22,1.6992,2.293,0.22852,0.58758,43,2019,7,14,10,25,18.257
171,22,1.8125,2.2422,0.32227,0.58758,28,2019,7,14,10,25,18.257
171,22,1.7461,2.248,0.73633,0.58758,31,2019,7,14,10,25,18.257
171,22,1.7676,2.1348,1.0859,0.58758,43,2019,7,14,10,25,18.257
171,22,1.7656,2.1699,-0.39844,-0.29379,31,2019,7,14,10,25,18.257
172,13,1.6543,2.2227,-0.30078,0,22,2019,7,14,10,25,18.34
172,13,1.6777,2.2695,-0.13672,0,17,2019,7,14,10,25,18.34
172,13,1.7891,2.2344,-0.0039063,0,45,2019,7,14,10,25,18.34
172,13,1.8125,2.2637,-0.046875,0,53,2019,7,14,10,25,18.34
172,13,1.7461,2.3574,0.20313,0,29,2019,7,14,10,25,18.34
172,13,1.6543,2.2344,-0.19531,0.29379,44,2019,7,14,10,25,18.34
172,13,1.6777,2.2734,0.0039063,0.29379,35,2019,7,14,10,25,18.34
172,13,1.6992,2.3008,0.13281,0.29379,86,2019,7,14,10,25,18.34
172,13,1.7227,2.332,0.10156,0.29379,104,2019,7,14,10,25,18.34
