Frame #,# Obj,X,Y,Z,Doppler,,y,m,d,h,m,s
6465,3,-1.6172,6.2523,0.37033,-0.14707,181,2019,7,13,18,31,55.339
6465,3,-1.8302,6.2201,0.55367,-0.14707,186,2019,7,13,18,31,55.339
6465,3,-2.0457,6.1467,0.9407,-0.14707,169,2019,7,13,18,31,55.339
6466,1,0,0,0,0,181,2019,7,13,18,31,55.645
6467,1,0,0,0,0,181,2019,7,13,18,31,55.663
6468,5,-1.4574,6.4751,0.57921,-0.44122,164,2019,7,13,18,31,55.698
6468,5,-1.8847,6.425,0.26748,-0.44122,157,2019,7,13,18,31,55.698
6468,5,-3.7694,1.9732,-5.1771,-0.44122,157,2019,7,13,18,31,55.698
6468,5,-2.2502,6.1108,0.66825,-0.14707,166,2019,7,13,18,31,55.698
6468,5,-2.0578,6.2007,0.82311,-0.14707,151,2019,7,13,18,31,55.698
6469,7,-1.4404,6.4122,0.41155,0,150,2019,7,13,18,31,55.705
6469,7,-1.8411,6.1916,1.0611,0.14707,180,2019,7,13,18,31,55.705
6469,7,-1.852,6.2117,1.1598,0.14707,189,2019,7,13,18,31,55.705
6469,7,-1.6559,6.3629,0.80224,0.14707,153,2019,7,13,18,31,55.705
6469,7,-1.852,6.1396,1.4953,0.29415,153,2019,7,13,18,31,55.705
6469,7,-1.8738,6.3879,0.26594,-0.29415,152,2019,7,13,18,31,55.705
6469,7,-2.0457,6.1201,1.1007,-0.14707,165,2019,7,13,18,31,55.705
6470,2,-1.6172,6.1636,1.1127,0,157,2019,7,13,18,31,55.711
6470,2,-1.6172,6.2024,0.87067,-0.14707,165,2019,7,13,18,31,55.711
6471,2,-2.0336,6.1045,0.97245,0.14707,154,2019,7,13,18,31,55.719
6471,2,-2.0457,6.0897,1.2581,0.14707,171,2019,7,13,18,31,55.719
6472,1,0,0,0,0,154,2019,7,13,18,31,55.727
6473,1,0,0,0,0,154,2019,7,13,18,31,55.736
6474,1,0,0,0,0,154,2019,7,13,18,31,55.743
6475,2,-1.6172,6.2281,0.6625,-0.14707,163,2019,7,13,18,31,55.75
6475,2,-1.6268,6.2513,0.78817,-0.14707,169,2019,7,13,18,31,55.75
6476,1,0,0,0,0,163,2019,7,13,18,31,55.756
6477,1,0,0,0,0,163,2019,7,13,18,31,55.762
6478,1,0,0,0,0,163,2019,7,13,18,31,55.768
6479,1,0,0,0,0,163,2019,7,13,18,31,55.776
6480,1,0,0,0,0,163,2019,7,13,18,31,55.79
6481,5,-1.6268,6.2766,0.55151,0,156,2019,7,13,18,31,55.801
6481,5,-1.415,6.2212,1.0668,0.14707,177,2019,7,13,18,31,55.801
6481,5,-1.4235,6.2913,0.85966,0.14707,194,2019,7,13,18,31,55.801
6481,5,-1.6172,6.1536,1.1669,0.29415,173,2019,7,13,18,31,55.801
6481,5,-1.6268,6.2513,0.78817,0.29415,188,2019,7,13,18,31,55.801
6482,5,-2.0336,6.0594,1.2223,0.14707,152,2019,7,13,18,31,55.808
6482,5,-1.8411,6.1663,1.1996,0.14707,169,2019,7,13,18,31,55.808
6482,5,-1.6462,6.2315,1.3488,0.14707,157,2019,7,13,18,31,55.808
6482,5,-1.6559,6.1415,1.847,0.14707,156,2019,7,13,18,31,55.808
6482,5,-1.4489,6.2556,1.6248,0.29415,163,2019,7,13,18,31,55.808
6483,1,0,0,0,0,152,2019,7,13,18,31,56.066
6484,2,-1.8193,6.1516,0.83124,0.14707,156,2019,7,13,18,31,56.097
6484,2,-1.4235,6.2972,0.81559,0.14707,159,2019,7,13,18,31,56.097
6485,2,-1.8193,6.0313,1.4689,0.14707,167,2019,7,13,18,31,56.103
6485,2,-1.8302,6.2039,0.7127,0.14707,170,2019,7,13,18,31,56.103
6486,6,-2.0215,6.0305,1.1789,0,164,2019,7,13,18,31,56.108
6486,6,-2.0336,6.0929,1.0426,0,174,2019,7,13,18,31,56.108
6486,6,-2.0336,6.1185,0.88022,-0.29415,162,2019,7,13,18,31,56.108
6486,6,-1.8193,6.1493,0.84855,-0.14707,193,2019,7,13,18,31,56.108
6486,6,-1.8302,6.2013,0.73525,-0.14707,208,2019,7,13,18,31,56.108
6486,6,-1.8411,6.263,0.48636,-0.14707,180,2019,7,13,18,31,56.108
6487,1,0,0,0,0,164,2019,7,13,18,31,56.114
6488,3,-2.0215,6.0661,0.97977,-0.14707,166,2019,7,13,18,31,56.12
6488,3,-1.8302,6.2214,0.53909,-0.14707,182,2019,7,13,18,31,56.12
6488,3,-1.432,6.3211,0.9196,-0.14707,161,2019,7,13,18,31,56.12
6489,2,-1.6172,6.2336,0.60832,-0.14707,179,2019,7,13,18,31,56.127
6489,2,-1.6268,6.2946,0.27823,-0.14707,159,2019,7,13,18,31,56.127
6490,7,-2.0215,6.0567,1.0364,0.14707,155,2019,7,13,18,31,56.132
6490,7,-1.8302,6.1588,1.0323,0.14707,163,2019,7,13,18,31,56.132
6490,7,-1.6172,6.2141,0.78348,-0.29415,172,2019,7,13,18,31,56.132
6490,7,-1.6268,6.2654,0.66646,-0.29415,156,2019,7,13,18,31,56.132
6490,7,-1.8084,6.1138,0.83383,-0.14707,167,2019,7,13,18,31,56.132
6490,7,-1.6172,6.2175,0.75603,-0.14707,196,2019,7,13,18,31,56.132
6490,7,-1.8302,6.1793,0.90175,-0.14707,184,2019,7,13,18,31,56.132
6491,3,-2.0215,6.1035,0.71061,-0.14707,169,2019,7,13,18,31,56.138
6491,3,-1.8411,6.0984,1.5073,-0.14707,150,2019,7,13,18,31,56.138
6491,3,-1.6462,6.1693,1.6094,-0.14707,154,2019,7,13,18,31,56.138
6492,2,-1.8302,6.1462,1.1052,0.14707,168,2019,7,13,18,31,56.143
6492,2,-1.6365,6.0893,1.759,0.14707,155,2019,7,13,18,31,56.143
6493,8,-1.6172,6.2281,0.6625,0,175,2019,7,13,18,31,56.149
6493,8,-1.8302,6.2039,0.7127,0,167,2019,7,13,18,31,56.149
6493,8,-1.8084,6.1104,0.85813,0.14707,176,2019,7,13,18,31,56.149
6493,8,-1.8193,6.1285,0.98764,0.14707,210,2019,7,13,18,31,56.149
6493,8,-1.8302,6.1619,1.0137,0.14707,205,2019,7,13,18,31,56.149
6493,8,-1.8411,6.2458,0.67261,0.14707,164,2019,7,13,18,31,56.149
6493,8,-2.2236,6.0141,0.85454,0.29415,170,2019,7,13,18,31,56.149
6493,8,-1.6268,6.2271,0.96039,0.29415,162,2019,7,13,18,31,56.149
6494,3,-1.8193,6.1549,0.80643,0,160,2019,7,13,18,31,56.156
6494,3,-2.0094,6.0548,0.80374,0.14707,165,2019,7,13,18,31,56.156
6494,3,-2.0215,6.0518,1.0646,0.14707,174,2019,7,13,18,31,56.156
6495,8,-2.2236,6.061,0.40429,0,168,2019,7,13,18,31,56.166
6495,8,-2.0336,6.0594,1.2223,0,174,2019,7,13,18,31,56.166
6495,8,-2.0094,6.0548,0.80374,0.14707,151,2019,7,13,18,31,56.166
6495,8,-1.8193,6.0997,1.1523,0.14707,195,2019,7,13,18,31,56.166
6495,8,-1.8302,6.0961,1.3545,0.14707,199,2019,7,13,18,31,56.166
6495,8,-1.8411,5.7444,2.5424,0.14707,176,2019,7,13,18,31,56.166
6495,8,-2.2236,5.9645,1.1508,0.29415,165,2019,7,13,18,31,56.166
6495,8,-2.0336,5.9927,1.5162,0.29415,172,2019,7,13,18,31,56.166
6496,1,0,0,0,0,168,2019,7,13,18,31,56.174
6497,6,-1.4235,6.3368,0.40671,0,158,2019,7,13,18,31,56.18
6497,6,-1.8411,6.2819,0.0021796,0,154,2019,7,13,18,31,56.18
6497,6,-1.8193,6.1173,1.0548,0.14707,164,2019,7,13,18,31,56.18
6497,6,-1.8302,6.2201,0.55367,0.14707,186,2019,7,13,18,31,56.18
6497,6,-1.6365,6.3383,9.7387e-14,0.14707,187,2019,7,13,18,31,56.18
6497,6,-2.0578,5.825,-2.2793,0.14707,152,2019,7,13,18,31,56.18
6498,1,-1.6268,6.2602,0.71389,0.14707,155,2019,7,13,18,31,56.186
6499,9,-1.8193,6.1549,0.80643,0,155,2019,7,13,18,31,56.191
6499,9,-1.8302,6.1874,0.84388,0,188,2019,7,13,18,31,56.191
6499,9,-1.6365,6.3139,0.55479,0,176,2019,7,13,18,31,56.191
6499,9,-1.8193,6.1045,1.1264,0.14707,174,2019,7,13,18,31,56.191
6499,9,-1.6268,6.2257,0.96978,0.14707,208,2019,7,13,18,31,56.191
6499,9,-1.6365,6.237,1.1286,0.14707,200,2019,7,13,18,31,56.191
6499,9,-1.852,6.1973,1.2347,0.14707,160,2019,7,13,18,31,56.191
6499,9,-1.8302,6.1737,0.93941,0.29415,169,2019,7,13,18,31,56.191
6499,9,-2.0457,6.0492,1.4402,0.29415,161,2019,7,13,18,31,56.191
6500,14,-1.8193,6.1562,0.7969,0,180,2019,7,13,18,31,56.198
6500,14,-1.6268,6.2185,1.0149,0,214,2019,7,13,18,31,56.198
6500,14,-1.8411,6.2448,0.68184,0,205,2019,7,13,18,31,56.198
