Frame #,# Obj,X,Y,Z,Doppler,Intensity,y,m,d,h,m,s
6836,41,1.418,2.0449,-0.39453,0,29,2019,7,14,22,32,43.925
6836,41,1.4395,2.0605,-0.47266,0,42,2019,7,14,22,32,43.925
6836,41,1.4609,2.1035,-0.42969,0,32,2019,7,14,22,32,43.925
6836,41,1.5645,2.1113,0.1875,0,38,2019,7,14,22,32,43.925
6836,41,1.6699,2.0664,0.28906,0,79,2019,7,14,22,32,43.925
6836,41,1.6094,2.1563,0.33203,0,74,2019,7,14,22,32,43.925
6836,41,1.2773,2.0371,-0.033203,0.29379,28,2019,7,14,22,32,43.925
6836,41,1.375,2.0195,-0.068359,0.29379,57,2019,7,14,22,32,43.925
6836,41,1.3184,2.1016,-0.056641,0.29379,55,2019,7,14,22,32,43.925
6836,41,1.5195,2.0137,0.42773,0.29379,31,2019,7,14,22,32,43.925
6836,41,1.541,2.0527,0.38672,0.29379,54,2019,7,14,22,32,43.925
6836,41,1.5645,2.082,0.39648,0.29379,134,2019,7,14,22,32,43.925
6836,41,1.5859,2.0957,0.47852,0.29379,245,2019,7,14,22,32,43.925
6836,41,1.6094,2.1152,0.53125,0.29379,241,2019,7,14,22,32,43.925
6836,41,1.5469,2.2129,0.51563,0.29379,118,2019,7,14,22,32,43.925
6836,41,1.3535,1.9727,0.24414,0.58758,67,2019,7,14,22,32,43.925
6836,41,1.375,2.0156,0.14844,0.58758,104,2019,7,14,22,32,43.925
6836,41,1.3184,2.0938,0.1875,0.58758,69,2019,7,14,22,32,43.925
6836,41,1.4961,2.0273,0.019531,0.58758,91,2019,7,14,22,32,43.925
6836,41,1.5195,2.0566,0.078125,0.58758,207,2019,7,14,22,32,43.925
6836,41,1.4609,2.1406,0.16211,0.58758,199,2019,7,14,22,32,43.925
6836,41,1.4824,2.123,0.48828,0.58758,189,2019,7,14,22,32,43.925
6836,41,1.5859,2.0371,0.68555,0.58758,274,2019,7,14,22,32,43.925
6836,41,1.6094,2.0586,0.7207,0.58758,278,2019,7,14,22,32,43.925
6836,41,1.6328,2.0957,0.70703,0.58758,141,2019,7,14,22,32,43.925
6836,41,1.3535,1.9258,0.49805,0.88138,52,2019,7,14,22,32,43.925
6836,41,1.375,1.9844,0.38086,0.88138,64,2019,7,14,22,32,43.925
6836,41,1.418,2.0801,0.11133,0.88138,116,2019,7,14,22,32,43.925
6836,41,1.4395,2.1074,0.16992,0.88138,227,2019,7,14,22,32,43.925
6836,41,1.4609,2.1348,0.21289,0.88138,197,2019,7,14,22,32,43.925
6836,41,1.4824,2.1191,0.5,0.88138,108,2019,7,14,22,32,43.925
6836,41,1.5039,2.0332,0.86523,0.88138,94,2019,7,14,22,32,43.925
